RECORDID,EXTERNALID
R24664950,842576
R24664951,842577
R24664952,842578
R24664953,842579
R24664954,842580
R24664955,842581
R24664956,842582
R24664957,842583
R24664958,842584
R24664959,842585
R24664960,842586
R24664961,842587
R24664962,842588
R24664963,842589
R24664964,842590
R24664965,842591
R24664966,842592
R24664967,842593
R24664968,842594
R24664969,842595
R24664970,842596
R24664971,842597
R24664972,842598
R24664973,842599
R24664974,842600
R24664975,842601
R24664976,842602
R24664977,842603
R24664978,842604
R24664979,842605
R24664980,842606
R24664981,842607
R24664982,842608
R24664983,842609
R24664984,842610
R24664985,842611
R24664986,842612
R24664987,842613
R24664988,842614
R24664989,842615
R24664990,842616
R24664991,842617
R24664992,842618
R24664993,842619
R24664994,842620
R24664995,842621
R24664996,842622
R24664997,842623
R24664998,842624
R24664999,842625
R24665000,842626
R24665001,842627
R24665002,842628
R24665003,842629
R24665004,842630
R24665005,842631
R24665006,842632
R24665007,842633
R24665008,842634
R24665009,842635
R24665010,842636
R24665011,842637
R24665012,842638
R24665013,842639
R24665014,842640
R24665015,842641
R24665016,842642
R24665017,842643
R24665018,842644
R24665019,842645
R24665020,842646
R24665021,842647
R24665022,842648
R24665023,842649
R24665024,842650
R24665025,842651
R24665026,842652
R24665027,842653
R24665028,842654
R24665029,842655
R24665030,842656
R24665031,842657
R24665032,842658
R24665033,842659
R24665034,842660
R24665035,842661
R24665036,842662
R24665037,842663
R24665038,842664
R24665039,842665
R24665040,842666
R24665041,842667
R24665042,842668
R24665043,842669
R24665044,842670
R24665045,842671
R24665046,842672
R24665047,842673
R24665048,842674
R24665049,842675
R24665050,842676
R24665051,842677
R24665052,842678
R24665053,842679
R24665054,842680
R24665055,842681
R24665056,842682
R24665057,842683
R24665058,842684
R24665059,842685
R24665060,842686
R24665061,842687
R24665062,842688
R24665063,842689
R24665064,842690
R24665065,842691
R24665066,842692
R24665067,842693
R24665068,842694
R24665069,842695
R24665070,842696
R24665071,842697
R24665072,842698
R24665073,842699
R24665074,842700
R24665075,842701
R24665076,842702
R24665077,842703
R24665078,842704
R24665079,842705
R24665080,842706
R24665081,842707
R24665082,842708
R24665083,842709
R24665084,842710
R24665085,842711
R24665086,842712
R24665087,842713
R24665088,842714
R24665089,842715
R24665090,842716
R24665091,842717
R24665092,842718
R24665093,842719
R24665094,842720
R24665095,842721
R24665096,842722
R24665097,842723
R24665098,842724
R24665099,842725
R24665100,842726
R24665101,842727
R24665102,842728
R24665103,842729
R24665104,842730
R24665105,842731
R24665106,842732
R24665107,842733
R24665108,842734
R24665109,842735
R24665110,842736
R24665111,842737
R24665112,842738
R24665113,842739
R24665114,842740
R24665115,842741
R24665116,842742
R24665117,842743
R24665118,842744
R24665119,842745
R24665120,842746
R24665121,842747
R24665122,842748
R24665123,842749
R24665124,842750
R24665125,842751
R24665126,842752
R24665127,842753
R24665128,842754
R24665129,842755
R24665130,842756
R24665131,842757
R24665132,842758
R24665133,842759
R24665134,842760
R24665135,842761
R24665136,842762
R24665137,842763
R24665138,842764
R24665139,842765
R24665140,842766
R24665141,842767
R24665142,842768
R24665143,842769
R24665144,842770
R24665145,842771
R24665146,842772
R24665147,842773
R24665148,842774
R24665149,842775
R24665150,842776
R24665151,842777
R24665152,842778
R24665153,842779
R24665154,842780
R24665155,842781
R24665156,842782
R24665157,842783
R24665158,842784
R24665159,842785
R24665160,842786
R24665161,842787
R24665162,842788
R24665163,842789
R24665164,842790
R24665165,842791
R24665166,842792
R24665167,842793
R24665168,842794
R24665169,842795
R24665170,842796
R24665171,842797
R24665172,842798
R24665173,842799
R24665174,842800
R24665175,842801
R24665176,842802
R24665177,842803
R24665178,842804
R24665179,842805
R24665180,842806
R24665181,842807
R24665182,842808
R24665183,842809
R24665184,842810
R24665185,842811
R24665186,842812
R24665187,842813
R24665188,842814
R24665189,842815
R24665190,842816
R24665191,842817
R24665192,842818
R24665193,842819
R24665194,842820
R24665195,842821
R24665196,842822
